>LOG: 2020/01/18 14:38:19 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/paulo
>LOG: 2020/01/18 14:44:29 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/paull
>LOG: 2020/01/18 14:46:12 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/qe
>LOG: 2020/01/18 14:47:36 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/i
>LOG: 2020/01/18 14:49:05 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/tt
>LOG: 2020/01/18 14:54:14 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/o
>LOG: 2020/01/18 15:00:44 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/bb
>LOG: 2020/01/18 15:02:21 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/uy
>LOG: 2020/01/18 15:11:49 | Verification: none | Log: Action: MKDIR | Path:/home/paulo/Repos/MEI/Segurança Sistemas Informáticos/ssi-tp3/models/storage/userid1/ytr
